Date,Time (IST),Passengers screened at airport,Confirmed,Active,Discharged/Cured,Migrated,Deaths
2020-03-10,12:00,941717,47,,,,
2020-03-12,18:00,1114025,74,,,,
2020-03-13,10:00,1171061,75,,,,
2020-03-14,09:00,1171061,83,,,,
2020-03-15,08:55,1229363,93,,,,
2020-03-15,12:00,1229363,107,,,,
2020-03-15,23:30,1276046,110,,,,
2020-03-16,16:00,1276046,114,,,,
2020-03-17,09:15,1319263,125,,,,
2020-03-17,11:52,1319263,126,,,,
2020-03-17,17:15,1354858,,120,14,,3
2020-03-18,09:00,1354858,,130,14,,3
2020-03-18,17:15,1393301,,134,14,,3
2020-03-19,09:00,1393301,,151,14,1,3
2020-03-19,17:00,1431734,,149,19,1,4
2020-03-20,09:00,1459993,,171,19,1,4
2020-03-20,17:00,1459993,,196,22,1,4
2020-03-21,09:00,1459993,,231,22,1,4
2020-03-21,22:45,1490303,315,,22,1,4
2020-03-22,14:30,1490303,341,,23,1,5
2020-03-22,18:30,1517327,,329,23,1,7
2020-03-23,10:30,1517327,415,,23,1,7
2020-03-23,20:15,1524266,468,424,34,1,9
2020-03-24,08:45,1524266,,446,36,1,9
2020-03-24,20:15,1524266,,469,39,1,10
2020-03-25,09:15,1524266,,512,40,1,9
2020-03-25,18:45,1524266,,553,42,1,10
2020-03-26,10:45,1524266,,593,42,1,13
2020-03-27,09:15,1524266,,640,66,1,17
2020-03-28,03:00,1524266,,748,66,1,19
2020-03-28,09:30,1524266,,775,78,1,19
2020-03-28,17:45,1524266,,819,79,1,19
2020-03-29,10:00,1524266,,867,86,1,25
2020-03-29,19:30,1524266,,901,95,1,27
2020-03-30,10:30,1524266,,942,99,1,29
2020-03-30,21:30,1524266,,1117,101,1,32
2020-03-31,20:30,,,1238,123,1,35
2020-04-01,09:00,,,1466,132,1,38
2020-04-01,19:30,,,1649,143,1,41
2020-04-02,09:00,,,1764,150,1,50
2020-04-02,18:00,,,1860,155,1,53
2020-04-03,09:00,,,2088,156,1,56
2020-04-03,18:00,,,2322,162,1,62
2020-04-04,09:00,,,2650,183,1,68
2020-04-04,18:00,,,2784,212,1,75
2020-04-05,09:00,,,3030,266,1,77
2020-04-05,18:00,,,3219,274,1,83
2020-04-06,09:00,,,3666,291,1,109
2020-04-07,09:00,,,3981,325,1,114
2020-04-07,18:00,,,4312,352,1,124
2020-04-08,17:00,,,4714,410,1,149
2020-04-09,17:00,,,5218,477,1,169
2020-04-11,08:00,,,6565,642,1,239
2020-04-11,17:00,,,6634,652,1,242
2020-04-12,17:00,,,7409,764,1,273
2020-04-14,08:00,,,8988,1035,1,339
2020-04-15,08:00,,,9576,1305,1,377
2020-04-15,17:00,,,10197,1343,1,392
2020-04-17,08:00,,,11201,1748,1,437
2020-04-17,17:00,,,11616,1766,1,452
2020-04-18,17:00,,,12289,2014,1,488
2020-04-19,17:00,,,13295,2301,1,519
2020-04-20,17:00,,,14255,2841,1,559
2020-04-21,17:00,,,15122,3259,1,603
2020-04-22,17:00,,,15859,3959,1,652
2020-04-23,17:00,,,16689,4324,1,686
2020-04-24,17:00,,,17915,4813,1,723
2020-04-25,17:00,,,18953,5209,1,779
2020-04-26,17:00,,,20177,5913,1,826
2020-04-28,08:00,,,21632,6868,1,934
2020-04-29,08:00,,,22629,7695,1,1007
2020-04-29,17:00,,,22982,7796,1,1008
2020-05-01,09:00,,,25007,8888,1,1147
2020-05-02,08:00,,,26167,9950,1,1218
2020-05-03,08:00,,,28046,10632,1,1301
2020-05-03,17:00,,,28070,10886,1,1306
2020-05-05,08:00,,,32138,12726,1,1568
2020-05-05,17:00,,,31967,13160,1,1583
2020-05-07,08:00,,,35902,15266,1,1783
